Country,Name,Source,Location,Capacity,Status,Start,Owner,Capital,HQ,Link,Latitude,Longitude
BRASIL,Ventos da Bahia,Eólica,Mulungu do Morro (BA),182,Operativo,2017,EDF Renewables / Omega,Privado,Paris (Francia),https://www.edf-renouvelables.com/en/project/ventos-de-bahia/,-11.98767533,-41.52585741
BRASIL,Serra Azul,Eólica,Cafarnaum. Mulungu do Morro (BA),118,Operativo,2015,Enel Green Power,Privado,Roma (Italia),https://www.enelgreenpower.com/our-projects,-11.89343089,-41.45833065
BRASIL,Cristal,Eólica,Cafarnaum (BA),89.7,Operativo,2017,Enel Green Power,Privado,Roma (Italia),https://www.enelgreenpower.com/our-projects,-11.793699,-41.397274
BRASIL,Morro do Chapéu,Eólica,Morro do Chapéu (BA),172,Operativo,2018,Enel Green Power,Privado,Roma (Italia),https://www.enelgreenpower.com/our-projects,-11.58741408,-41.22852865
Bolivia,Planta Solar Fotovoltaica El Sena-Pando,Solar,Pando,0.4,Operativo,2018,ENDE GUARACACHI S.A.,Estatal,Cochabamba (Bolivia),http://www.guaracachi.com.bo/index.php/nuestras-plantas/el-sena#:~:text=La%20Planta%20Solar%20El%20Sena.alrededor%20de%208%20mil%20habitantes.,-11.492776,-67.24698
BRASIL,Complexo Tucano,Eólica,Tucano. Biritinga. Araci (BA),582.8,Planificado,Indeterminado,AES Brasil,Privado,São Paulo (Brasil),https://www.canalenergia.com.br/noticias/53164555/aes-brasil-inicia-as-obras-do-complexo-eolico-tucano-na-bahia,-11.32945525,-38.80453795
BRASIL,Complexo Serra da Babilônia,Eólica,Morro do Chapéu. Várzea Nova (BA),223,En construcción,Indeterminado,PEC Energia / Rio Energy,Privado,São Paulo (Brasil),https://www.pecenergia.com.br/serra-da-babilonia.html,-11.1203576,-41.32421958
Bolivia,Proyecto Solar Cobija,Solar,Pando,5.2,Operativo,2015,ENDE GUARACACHI S.A.,Estatal,Cochabamba (Bolivia),https://www.ende.bo/proyectos/resena/proyecto-solar-cobija,-11.082449,-68.769379
BRASIL,Complexo Serra da Babilônia,Eólica,Morro do Chapéu. Várzea Nova (BA),223,Operativo,2018,PEC Energia / Rio Energy,Privado,São Paulo (Brasil),https://www.pecenergia.com.br/serra-da-babilonia.html,-11.066677,-41.328388
BRASIL,Complexo Assuruá,Eólica,Gentio do Ouro,353,Operativo,2016,Omega,Privado,São Paulo (Brasil),http://www.omegageracao.com.br/governanca/visao-geral/,-11.04747424,-42.6875994
BRASIL,Babilônia,Eólica,Várzea Nova. Ourolândia (BA),137,Operativo,2018,Actis,Privado,Londres (Reino Unido),https://www.act.is/about-actis/our-portfolio/eolicas-babilonia/,-10.95819775,-41.23343433
BRASIL,Complexo Ventos de São Vitor,Eólica,Xique-xique. Itaguaçu da Bahia (BA),465,En construcción,Indeterminado,Essentia Energia,Privado,São Paulo (Brasil),https://atarde.uol.com.br/bahia/noticias/2154076-essentia-energia-anuncia-implantacao-do-primeiro-parque-eolico-do-grupo-na-bahia,-10.9562976,-42.56218063
Perú,Central De Energía Solar Fotovoltaica Atalaya,Solar,Ucayali,2,Operativo,2020,ELECTRO UCAYALI S.A.,Estatal,Ucayali (Perú),https://andina.pe/agencia/noticia-ucayali-inaugura-su-primera-central-solar-beneficiara-a-atalaya-818255.aspx,-10.788273,-73.762371
BRASIL,Pedra Pintada I - IV,Eólica,Ourolândia (BA),192,Planificado,Indeterminado,Voltalia Energia,Privado,Paris (Francia),https://megawhat.energy/news/131480/aneel-libera-implantacao-de-192-mw-em-parques-eolicos-pela-voltalia-na-bahia,-10.69043933,-41.20533502
BRASIL,Riacho da Serra,Solar,Paranaguá (PI),888,Planificado,Indeterminado,Riacho da Serra Energia S.A.,Privado,Rio de Janeiro (Brasil),https://abrapch.org.br/2021/04/diario-oficial-uniao-08-04-2021/,-10.68521667,-44.7002
BRASIL,Complexo Umburanas,Eólica,Sento Sé (BA),360,Operativo,2019,Engie,Privado,La Défence (Francia),https://www.engie.com.br/en/generation-complex/power-plant/umburanas-Eólica-complex/,-10.67947732,-41.5206307
BRASIL,Altitude 1-15,Solar,Parnaguá (PI),659.71,Planificado,Indeterminado,Riacho da Serra Energia S.A.,Privado,Rio de Janeiro (Brasil),https://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=515&pagina=105&data=08/04/2021&captchafield=firstAccess,-10.6024,-44.44929167
BRASIL,Morrinhos,Eólica,Campo Formoso (BA),180,Operativo,2015,CGN Energy International Holdings co.,Estatal,Shenzhen (China),http://www.cgnei.com/encgninde/qqxm/qqxmfb.shtml,-10.56956163,-40.62858262
BRASIL,Complexo Sento Sé III,Eólica,Sento Sé (BA),58.75,Operativo,2020,Chesf. Brennand,Mixto,Recife (Brasil),https://www.brennandenergia.com.br/site/eolica.php?c=10,-10.5066865,-41.48676691
BRASIL,Folha Larga Sul,Eólica,Campo Formoso (BA),151,Operativo,2020,Casa dos Ventos,Privado,São Paulo (Brasil),https://casadosventos.com.br/projetos/,-10.47361786,-40.52396426
BRASIL,Complexo Rio do Vento,Eólica,Campo Formoso (BA),1038,En construcción,Indeterminado,Casa dos Ventos,Privado,São Paulo (Brasil),https://canalenergia.com.br/noticias/53173203/casa-dos-ventos-inicia-energizacao-de-subestacao-coletora-do-complexo-rio-do-vento https://agenciadenoticias.bndes.gov.br/detalhe/noticia/Dois-novos-parques-eolicos-no-RN-produzirao-energia-limpa-e-renovavel-para-242-mil-residencias/,-10.44202226,-40.46165762
